cmpdname,mw,polararea,heavycnt,hbonddonor,hbondacc,rotbonds,isosmiles,exactmass,monoisotopicmass,xlogp
Acephate,183.17,80.7,10,1,4,3,CC(=O)NP(=O)(OC)SC,183.012,183.012,-0.8
Acetaminophen,151.16,49.3,11,2,2,1,CC(=O)NC1=CC=C(C=C1)O,151.063,151.063,0.5
Acetazolamide,222.3,152,13,2,7,2,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,221.988,221.988,-0.3
Acetochlor,269.77,29.5,18,0,2,6,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,269.118,269.118,3.2
Acetohexamide,324.4,101,22,2,4,4,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,324.114,324.114,2.4
Acetohydroxamic acid,75.07,49.3,5,2,2,0,CC(=O)NO,75.032,75.032,-1.6
actinomycin D,1255.4,356,90,5,18,8,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,1254.63,1254.63,3.8
Adiphenine,311.4,29.5,23,0,3,9,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,311.189,311.189,4.2
Alachlor,269.77,29.5,18,0,2,6,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,269.118,269.118,3.5
Albendazole,265.33,92.3,18,2,4,5,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.088,265.088,2.9
Salbutamol,239.31,72.7,17,4,4,5,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.152,239.152,0.3
Temik,190.27,76,12,1,4,4,CC(C)(C=NOC(=O)NC)SC,190.078,190.078,1.1
Isodrin,364.9,0,18,0,0,0,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,363.873,361.876,4.5
Alendronic acid,249.1,161,14,6,8,5,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,249.017,249.017,-6.5
Alfuzosin,389.4,112,28,2,8,8,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,389.206,389.206,1.7
Alosetron,294.35,53.9,22,1,2,2,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,294.148,294.148,1.6
DL-alpha-Tocopherol,430.7,29.5,31,1,2,12,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,430.381,430.381,10.7
Alprazolam,308.8,43.1,22,0,3,1,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,308.083,308.083,2.1
Alprenolol,249.35,41.5,18,2,3,8,CC(C)NCC(COC1=CC=CC=C1CC=C)O,249.173,249.173,3.1
Altretamine,210.28,48.4,15,0,6,3,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,210.159,210.159,2.7
Amantadine,151.25,26,11,1,1,0,C1C2CC3CC1CC(C2)(C3)N,151.136,151.136,2.4
Diatrizoic acid,613.91,95.5,20,3,4,3,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,613.77,613.77,1.8
Amifostine,214.23,121,12,4,6,7,C(CN)CNCCSP(=O)(O)O,214.054,214.054,-4.5
Aminoglutethimide,232.28,72.2,17,2,3,2,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,232.121,232.121,1.2
Aminohippuric acid,194.19,92.4,14,3,4,3,C1=CC(=CC=C1C(=O)NCC(=O)O)N,194.069,194.069,-0.9
Theophylline,180.16,69.3,13,1,3,0,CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.065,180.065,0
Amiodarone,645.3,42.7,31,0,4,11,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.024,645.024,7.6
Amisulpride,369.5,110,25,2,6,7,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,369.172,369.172,1.5
Amitriptyline,277.4,3.2,21,0,1,3,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.183,277.183,5
Amlexanox,298.29,103,22,2,6,2,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,298.095,298.095,3.1
Amlodipine,408.9,99.9,28,2,7,10,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,408.145,408.145,3
Amobarbital,226.27,75.3,16,2,3,4,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,226.132,226.132,2.1
Amodiaquine,355.9,48.4,25,2,4,6,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,355.145,355.145,2.6
Amoxapine,313.8,36.9,22,1,3,1,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,313.098,313.098,2.6
Amsacrine,393.5,88.7,28,2,6,5,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,393.115,393.115,4
Isoamygdalin,457.4,202,32,7,12,7,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,457.158,457.158,-2.7
Anabasine,162.23,24.9,12,1,2,1,C1CCNC(C1)C2=CN=CC=C2,162.116,162.116,1
Anastrozole,293.4,78.3,22,0,4,4,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,293.164,293.164,2.1
Anisindione,252.26,43.4,19,0,3,2,COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,252.079,252.079,2.9
Antazoline,265.35,27.6,20,1,2,5,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3,265.158,265.158,2.6
Antipyrine,188.23,23.6,14,0,2,1,CC1=CC(=O)N(N1C)C2=CC=CC=C2,188.095,188.095,0.4
Apraclonidine,245.11,62.4,15,3,2,2,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,244.028,244.028,1.3
Aprindine,322.5,6.5,24,0,2,8,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C3=CC=CC=C3,322.241,322.241,5.2
Arecoline,155.19,29.5,11,0,3,2,CN1CCC=C(C1)C(=O)OC,155.095,155.095,0.3
Arotinolol,371.5,170,23,3,7,8,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O,371.08,371.08,2.3
Aspirin,180.16,63.6,13,1,4,3,CC(=O)OC1=CC=CC=C1C(=O)O,180.042,180.042,1.2
Astemizole,458.6,42.3,34,1,5,8,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.248,458.248,6
Atenolol,266.34,84.6,19,3,4,8,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.163,266.163,0.2
Atrazine,215.68,62.7,14,2,5,4,CCNC1=NC(=NC(=N1)Cl)NC(C)C,215.094,215.094,2.6
Azathioprine,277.27,143,19,1,7,2,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],277.038,277.038,0.1
Azelaic Acid,188.22,74.6,13,2,4,8,C(CCCC(=O)O)CCCC(=O)O,188.105,188.105,1.6
Azelastine,381.9,35.9,27,0,3,3,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,381.161,381.161,4.4
Azinphos-methyl,317.3,121,19,0,7,5,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,317.006,317.006,2.8
"2-ethyl-3,4,10-trihydroxy-3,5,6,8,10,12,14-heptamethyl-15-oxo-11-{[3,4,6-trideoxy-3-(dimethylamino)hexopyranosyl]oxy}-1-oxa-6-azacyclopentadecan-13-yl 2,6-dideoxy-3-C-methyl-3-O-methylhexopyranoside",749,180,52,5,14,7,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,748.509,748.509,4
Azobenzene,182.22,24.7,14,0,2,2,C1=CC=C(C=C1)N=NC2=CC=CC=C2,182.084,182.084,3.8
Baclofen,213.66,63.3,14,2,3,4,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,213.056,213.056,-1
Bisphenol A diglycidyl ether,340.4,43.5,25,0,4,8,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,340.167,340.167,4
Barbital,184.19,75.3,13,2,3,2,CCC1(C(=O)NC(=O)NC1=O)CC,184.085,184.085,0.6
Bendiocarb,223.22,56.8,16,1,4,2,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,223.084,223.084,1.7
Bendroflumethiazide,421.4,135,27,3,10,3,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,421.038,421.038,1.2
Benfluralin,335.28,94.9,23,0,8,5,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],335.109,335.109,5.3
Bentazone,240.28,74.9,16,1,4,1,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,240.057,240.057,2.8
Benzamide,121.14,43.1,9,1,1,1,C1=CC=C(C=C1)C(=O)N,121.053,121.053,0.6
Mellitic acid,342.17,224,24,6,12,6,C1(=C(C(=C(C(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O,341.986,341.986,-0.9
Benzo[a]pyrene,252.3,0,20,0,0,0,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,252.094,252.094,6
Benzocaine,165.19,52.3,12,1,3,3,CCOC(=O)C1=CC=C(C=C1)N,165.079,165.079,1.9
Benzquinamide,404.5,68.3,29,0,6,7,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC,404.231,404.231,2.1
Benzthiazide,431.9,161,26,2,7,5,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,430.983,430.983,1.7
Benzyl Benzoate,212.24,26.3,16,0,2,4,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,212.084,212.084,4
Benzyl isothiocyanate,149.21,44.4,10,0,2,2,C1=CC=C(C=C1)CN=C=S,149.03,149.03,3.2
Benzyl butyl phthalate,312.4,52.6,23,0,4,9,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,312.136,312.136,4.9
Bepridil,366.5,15.7,27,0,3,10,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,366.267,366.267,5.3
Berberine,336.4,40.8,25,0,4,2,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,336.124,336.124,3.6
Bergapten,216.19,48.7,16,0,4,1,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.042,216.042,2.3
beta-Propiolactone,72.06,26.3,5,0,2,0,C1COC1=O,72.0211,72.0211,-0.2
Betahistine,136.19,24.9,10,1,2,3,CNCCC1=CC=CC=N1,136.1,136.1,0.4
Bethanidine,177.25,36.4,13,2,1,4,CNC(=NC)NCC1=CC=CC=C1,177.127,177.127,0.9
Betaxolol,307.4,50.7,22,2,4,11,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,307.215,307.215,2.8
Bevantolol,345.4,60,25,2,5,10,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,345.194,345.194,3
Bicalutamide,430.4,116,29,2,9,5,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,430.061,430.061,2.3
Bifonazole,310.4,17.8,24,0,1,4,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,310.147,310.147,4.8
Biperiden,311.5,23.5,23,1,2,5,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,311.225,311.225,4.3
Bisacodyl,361.4,65.5,27,0,5,7,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,361.131,361.131,3.8
Bisoprolol,325.4,60,23,2,5,12,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,325.225,325.225,1.9
Bithionol,356,65.8,19,2,3,2,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,355.881,353.884,5.8
Brimonidine,292.13,62.2,17,2,3,2,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,291.012,291.012,0.6
Bromazepam,316.15,54.4,19,1,3,1,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,315.001,315.001,1.7
Bromhexine,376.13,29.3,18,1,2,3,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2,375.997,373.999,4.3
Bromazine,334.2,12.5,20,0,2,6,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,333.073,333.073,4
Bronopol,199.99,86.3,9,2,4,2,C(C(CO)([N+](=O)[O-])Br)O,198.948,198.948,-0.6
"6b-Glycoloyl-5-hydroxy-4a,6a-dimethyl-8-propyl-4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-dodecahydro-2H-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one",430.5,93.1,31,2,6,4,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,430.236,430.236,2.5
Buformin,157.22,103,11,3,1,4,CCCCN=C(N)N=C(N)N,157.133,157.133,-0.6
Bumetanide,364.4,127,25,3,7,8,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,364.109,364.109,2.8
Bupivacaine,288.4,32.299,21,1,2,5,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,288.22,288.22,3.4
Buspirone,385.5,69.6,28,0,6,6,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,385.248,385.248,2.6
Busulfan,246.3,104,14,0,6,7,CS(=O)(=O)OCCCCOS(=O)(=O)C,246.023,246.023,-0.5
Butabarbital,212.25,75.3,15,2,3,3,CCC(C)C1(C(=O)NC(=O)NC1=O)CC,212.116,212.116,1.6
Butalbital,224.26,75.3,16,2,3,4,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,224.116,224.116,1.7
Butyl 4-aminobenzoate,193.24,52.3,14,1,3,5,CCCCOC(=O)C1=CC=C(C=C1)N,193.11,193.11,2.9
Butenafine,317.5,3.2,24,0,1,5,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,317.214,317.214,6.3
Caffeine,194.19,58.4,14,0,3,0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.08,194.08,-0.1
Verapamil,454.6,64,33,0,6,13,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.283,454.283,3.8
calphostin C,790.8,194,58,3,14,15,CC(CC1=C2C3=C(C(=C(C4=C3C(=C5C2=C(C(=O)C=C5OC)C(=C1OC)O)C(=CC4=O)OC)O)OC)CC(C)OC(=O)OC6=CC=C(C=C6)O)OC(=O)C7=CC=CC=C7,790.226,790.226,8.6
Camphor,152.23,17.1,11,0,1,0,CC1(C2CCC1(C(=O)C2)C)C,152.12,152.12,2.2
Candesartan cilexetil,610.7,143,45,1,10,13,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,610.254,610.254,7
Candesartan,440.5,119,33,2,7,7,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,440.16,440.16,4.1
Carbamylcholine,147.2,52.3,10,1,2,4,C[N+](C)(C)CCOC(=O)N,147.113,147.113,-0.4
Carbamazepine,236.27,46.3,18,1,1,0,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.095,236.095,2.5
Carbinoxamine,290.79,25.4,20,0,3,6,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,290.119,290.119,2.9
Carbofuran,221.25,47.6,16,1,3,2,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,221.105,221.105,2.3
Spermidic acid,175.18,86.6,12,3,5,7,C(CC(=O)O)CNCCC(=O)O,175.084,175.084,-3.1
Carisoprodol,260.329,90.6,18,2,4,9,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,260.174,260.174,1.9
Carmustine,214.05,61.8,12,1,3,4,C(CCl)NC(=O)N(CCCl)N=O,213.007,213.007,1.5
Carprofen,273.71,53.1,19,2,2,2,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,273.056,273.056,4
Carteolol,292.37,70.6,21,3,4,6,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O,292.179,292.179,1
Carvedilol,406.5,75.7,30,3,5,10,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,406.189,406.189,4.2
Celecoxib,381.4,86.4,26,1,7,3,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,381.076,381.076,3.4
"7-[4-(4-Fluorophenyl)-5-(methoxymethyl)-2,6-di(propan-2-yl)pyridin-3-yl]-3,5-dihydroxyhept-6-enoic acid",459.5,99.9,33,3,7,11,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O,459.242,459.242,3.6
Cetirizine,388.9,53,27,1,5,8,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,388.155,388.155,1.7
1-Hexadecanol,242.44,20.2,17,1,1,14,CCCCCCCCCCCCCCCCO,242.261,242.261,7.3
Cevimeline,199.32,37.8,13,0,3,0,CC1OC2(CN3CCC2CC3)CS1,199.103,199.103,1.5
Chloral Hydrate,165.4,40.5,7,2,2,0,C(C(Cl)(Cl)Cl)(O)O,163.92,163.92,1
Chlorambucil,304.2,40.5,19,1,3,9,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,303.079,303.079,1.7
Chlorcyclizine,300.8,6.5,21,0,2,3,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,300.139,300.139,4.5
Chlordiazepoxide,299.75,48.2,21,1,3,1,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,299.083,299.083,2.4
Nolvasan,505.4,178,34,6,2,13,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,504.203,504.203,0.1
CID 2716,367.2,64.4,11,2,2,1,COC(CNC(=O)N)C[Hg]Cl,368.022,368.022,NULL
Chlormezanone,273.74,62.8,17,0,3,1,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,273.023,273.023,1.1
Chloroquine,319.9,28.2,22,1,3,8,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,319.182,319.182,4.6
Chlorothiazide,295.7,135,17,2,6,1,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,294.949,294.949,-0.2
Chloroxine,214.04,33.1,13,1,2,0,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,212.975,212.975,3.5
Chloroxylenol,156.61,20.2,10,1,1,0,CC1=CC(=CC(=C1Cl)C)O,156.034,156.034,2
Chlorpheniramine,274.79,16.1,19,0,2,5,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,274.124,274.124,3.4
Chlorpromazine,318.9,31.8,21,0,3,4,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,318.096,318.096,5.2
Chlorpropamide,276.74,83.6,17,2,3,4,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,276.034,276.034,2.3
Chlorpropham,213.66,38.3,14,1,2,3,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,213.056,213.056,3.5
"1-Propanamine, 3-(2-chloro-9H-thioxanthen-9-ylidene)-N,N-dimethyl-, (Z)-",315.9,28.5,21,0,2,3,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,315.085,315.085,5.2
Chlorpyrifos,350.6,72.7,18,0,5,6,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,348.926,348.926,5.3
Chlorthalidone,338.8,118,22,3,5,2,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,338.013,338.013,0.9
Chlorzoxazone,169.56,38.3,11,1,2,0,C1=CC2=C(C=C1Cl)NC(=O)O2,168.993,168.993,1.8
Ciclopirox,207.27,40.5,15,1,2,1,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,207.126,207.126,2
Cilostazol,369.5,81.9,27,1,5,7,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,369.216,369.216,3.1
Cimetidine,252.34,114,17,3,4,7,CC1=C(N=CN1)CSCCNC(=NC)NC#N,252.116,252.116,0.4
alpha-Quinidine,294.4,36.4,22,1,3,3,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,294.173,294.173,2.7
Eucalyptol,154.25,9.2,11,0,1,0,CC1(C2CCC(O1)(CC2)C)C,154.136,154.136,2.5
1-(Diphenylmethyl)-4-(3-phenylprop-2-enyl)piperazine,368.5,6.5,28,0,2,6,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,368.225,368.225,5.8
Cinoxacin,262.22,88.4,19,1,7,2,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,262.059,262.059,2.1
Ciprofloxacin,331.34,72.9,24,2,7,3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,331.133,331.133,-1.1
"Platinum, diamminedichloro-",298.03,2,5,2,2,0,[NH2-].[NH2-].Cl[Pt+2]Cl,296.94,296.94,NULL
Citalopram,324.4,36.3,24,0,4,5,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,324.164,324.164,3.2
"5,7-Dimethoxycoumarin",206.19,44.8,15,0,4,2,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,206.058,206.058,1.9
Clobazam,300.74,40.6,21,0,2,1,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,300.067,300.067,2.1
Clofazimine,473.4,40,33,1,4,4,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,472.122,472.122,7.1
Clofibrate,242.7,35.5,16,0,3,5,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.071,242.071,3.3
Clomifene,406,12.5,29,0,2,9,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,405.186,405.186,7.2
Clomipramine,314.9,6.5,22,0,2,4,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.155,314.155,5.2
Clonazepam,315.71,87.3,22,1,4,1,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,315.041,315.041,2.4
Clonidine,230.09,36.4,14,2,1,2,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,229.017,229.017,1.6
Clorazepate,314.72,78.8,22,2,4,2,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,314.046,314.046,3.3
Clotiazepam,318.8,60.9,21,0,3,2,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,318.059,318.059,3.5
Clotrimazole,344.8,17.8,25,0,1,4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,344.108,344.108,5
Ethylbenzoylecgonine,317.4,55.8,23,0,5,6,CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3,317.163,317.163,2.7
Pseudococaine,303.35,55.8,22,0,5,5,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,303.147,303.147,2.3
"N-(1,2,3,10-Tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl)acetamide",399.4,83.1,29,1,6,5,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.168,399.168,1
Coumaphos,362.8,86.1,22,0,6,6,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,362.014,362.014,4.5
P-Cresol,108.14,20.2,8,1,1,0,CC1=CC=C(C=C1)O,108.058,108.058,1.9
Cromolyn,468.4,166,34,3,11,8,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O,468.069,468.069,1.9
Crotaglin,203.28,20.3,15,0,1,3,CCN(C1=CC=CC=C1C)C(=O)C=CC,203.131,203.131,2.8
Cyclobenzaprine,275.4,3.2,21,0,1,3,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,275.167,275.167,5.2
Cycloleucine,129.16,63.3,9,2,3,1,C1CCC(C1)(C(=O)O)N,129.079,129.079,-2.6
Cyclopentolate,291.4,49.8,21,1,4,7,CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O,291.183,291.183,2.7
Cyclophosphamide,261.079,41.6,14,1,4,5,C1CNP(=O)(OC1)N(CCCl)CCCl,260.025,260.025,0.6
Cyclothiazide,389.9,135,24,3,7,2,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,389.027,389.027,2
Cycrimine,287.4,23.5,21,1,2,5,C1CCN(CC1)CCC(C2CCCC2)(C3=CC=CC=C3)O,287.225,287.225,3.9
Cypermethrin,416.3,59.3,28,0,4,7,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,415.074,415.074,6
Cyproheptadine,287.4,3.2,22,0,1,0,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,287.167,287.167,4.7
Tyrosylarginine,337.37,177,24,6,6,9,C1=CC(=CC=C1CC(C(=O)NC(CCCN=C(N)N)C(=O)O)N)O,337.175,337.175,-4.3
Dacarbazine,182.18,99.7,13,2,5,3,CN(C)N=NC1=C(NC=N1)C(=O)N,182.092,182.092,-0.6
